1975,Winner,Bernard Thévenet,France
1975,Climber,Lucien Van Impe,Belgique
1975,Sprinter,Rik Van Linden,Belgique
1976,Winner,Lucien Van Impe,Belgique
1976,Climber,Giancarlo Bellini,Italie
1976,Sprinter,Freddy Maertens,Belgique
1977,Winner,Bernard Thévenet,France
1977,Climber,Lucien Van Impe,Belgique
1977,Sprinter,Jacques Esclassan,France
1978,Winner,Bernard Hinault,France
1978,Climber,Mariano Martínez,France
1978,Sprinter,Freddy Maertens,Belgique
1979,Winner,Bernard Hinault,France
1979,Climber,Giovanni Battaglin,Italie
1979,Sprinter,Bernard Hinault,France
1980,Winner,Joop Zoetemelk,Luxembourg
1980,Climber,Raymond Martin,France
1980,Sprinter,Rudy Pevenage,Belgique
1981,Winner,Bernard Hinault,France
1981,Climber,Lucien Van Impe,Belgique
1981,Sprinter,Freddy Maertens,Belgique
1982,Winner,Bernard Hinault,France
1982,Climber,Bernard Vallet,France
1982,Sprinter,Sean Kelly,Irlande
1983,Winner,Laurent Fignon,France
1983,Climber,Lucien Van Impe,Belgique
1983,Sprinter,Sean Kelly,Irlande
1984,Winner,Laurent Fignon,France
1984,Climber,Robert Millar,Royaume-Uni
1984,Sprinter,Frank Hoste,Belgique
1985,Winner,Bernard Hinault,France
1985,Climber,Luis Herrera,Colombie
1985,Sprinter,Sean Kelly,Irlande
1986,Winner,Greg LeMond,Etats-Unis
1986,Climber,Bernard Hinault,France
1986,Sprinter,Eric Vanderaerden,Belgique
1987,Winner,Stephen Roche,Irlande
1987,Climber,Luis Herrera,Colombie
1987,Sprinter,Jean-Paul van Poppel,Pays-Bas
1988,Winner,Pedro Delgado,Espagne
1988,Climber,Steven Rooks,Pays-Bas
1988,Sprinter,Eddy Planckaert,Belgique
1989,Winner,Greg LeMond,Etats-Unis
1989,Climber,Gert-Jan Theunisse,Pays-Bas
1989,Sprinter,Sean Kelly,Irlande
1990,Winner,Greg LeMond,Etats-Unis
1990,Climber,Thierry Claveyrolat,France
1990,Sprinter,Olaf Ludwig,Allemagne de l'Est
1991,Winner,Miguel Indurain,Espagne
1991,Climber,Claudio Chiappucci,Italie
1991,Sprinter,Djamolidine Abdoujaparov,Union soviétique
1992,Winner,Miguel Indurain,Espagne
1992,Climber,Claudio Chiappucci,Italie
1992,Sprinter,Laurent Jalabert,France
1993,Winner,Miguel Indurain,Espagne
1993,Climber,Tony Rominger,Suisse
1993,Sprinter,Djamolidine Abdoujaparov,Ouzbékistan
1994,Winner,Miguel Indurain,Espagne
1994,Climber,Richard Virenque,France
1994,Sprinter,Djamolidine Abdoujaparov,Ouzbékistan
1995,Winner,Miguel Indurain,Espagne
1995,Climber,Richard Virenque,France
1995,Sprinter,Laurent Jalabert,France
1996,Winner,Bjarne Riis,Danemark
1996,Climber,Richard Virenque,France
1996,Sprinter,Erik Zabel,Allemagne
1997,Winner,Jan Ullrich,Allemagne
1997,Climber,Richard Virenque,France
1997,Sprinter,Erik Zabel,Allemagne
1998,Winner,Marco Pantani,Italie
1998,Climber,Christophe Rinero,France
1998,Sprinter,Erik Zabel,Allemagne
1999,Winner,désattribué,none
1999,Climber,Richard Virenque,France
1999,Sprinter,Erik Zabel,Allemagne
2000,Winner,désattribué,none
2000,Climber,Santiago Botero,Colombie
2000,Sprinter,Erik Zabel,Allemagne
2001,Winner,désattribué,none
2001,Climber,Laurent Jalabert,France
2001,Sprinter,Erik Zabel,Allemagne
2002,Winner,désattribué,none
2002,Climber,Laurent Jalabert,France
2002,Sprinter,Robbie McEwen,Australie
2003,Winner,désattribué,none
2003,Climber,Richard Virenque,France
2003,Sprinter,Baden Cooke,Australie
2004,Winner,désattribué,none
2004,Climber,Richard Virenque,France
2004,Sprinter,Robbie McEwen,Australie
2005,Winner,désattribué,none
2005,Climber,Michael Rasmussen,Danemark
2005,Sprinter,Thor Hushovd,Norvège
2006,Winner,Óscar Pereiro,Espagne
2006,Climber,Michael Rasmussen,Danemark
2006,Sprinter,Robbie McEwen,Australie
2007,Winner,Alberto Contador,Espagne
2007,Climber,Mauricio Soler,Colombie
2007,Sprinter,Tom Boonen,Belgique
2008,Winner,Carlos Sastre,Espagne
2008,Climber,Carlos Sastre,Espagne
2008,Sprinter,Óscar Freire,Espagne
2009,Winner,Alberto Contador,Espagne
2009,Climber,Egoi Martínez,Espagne
2009,Sprinter,Thor Hushovd,Norvège
2010,Winner,Andy Schleck,Luxembourg
2010,Climber,Anthony Charteau,France
2010,Sprinter,Alessandro Petacchi,Italie
2011,Winner,Cadel Evans,Australie
2011,Climber,Samuel Sánchez,Espagne
2011,Sprinter,Mark Cavendish,Royaume-Uni
2012,Winner,Bradley Wiggins,Royaume-Uni
2012,Climber,Thomas Voeckler,France
2012,Sprinter,Peter Sagan,Slovaquie
2013,Winner,Christopher Froome,Royaume-Uni
2013,Climber,Nairo Quintana,Colombie
2013,Sprinter,Peter Sagan,Slovaquie
2014,Winner,Vincenzo Nibali,Italie
2014,Climber,Rafał Majka,Pologne
2014,Sprinter,Peter Sagan,Slovaquie
2015,Winner,Christopher Froome,Royaume-Uni
2015,Climber,Christopher Froome,Royaume-Uni
2015,Sprinter,Peter Sagan,Slovaquie
2016,Winner,Christopher Froome,Royaume-Uni
2016,Climber,Rafał Majka,Pologne
2016,Sprinter,Peter Sagan,Slovaquie
2017,Winner,Christopher Froome,Royaume-Uni
2017,Climber,Warren Barguil,France
2017,Sprinter,Michael Matthews,Australie
